cbg,deg_t0,deg_tD,deg_t1,vulnerability,robustness,drop_depth,recovery_rate,area_loss
482450003104,0.35029354207436425,0.3561643835616439,0.1213307240704502,0.005870841487279677,-0.23483365949119372,-0.005870841487279677,-0.23483365949119372,-0.005870841487279677
482450003105,0.3864541832669319,0.5617529880478087,0.3545816733067726,0.17529880478087678,-0.20717131474103612,-0.17529880478087678,-0.20717131474103612,-0.17529880478087678
482450004001,0.5992179863147604,0.7878787878787876,0.4643206256109482,0.1886608015640272,-0.3235581622678394,-0.1886608015640272,-0.3235581622678394,-0.1886608015640272
482450004002,0.15120274914089382,0.2225085910652922,0.6022336769759455,0.07130584192439837,0.37972508591065335,-0.07130584192439837,0.37972508591065335,-0.07130584192439837
482450004003,0.3007518796992481,0.20847573479152448,0.28024606971975397,-0.09227614490772362,0.07177033492822948,0.09227614490772362,0.07177033492822948,0.09227614490772362
482450004004,0.29498861047836034,0.5102505694760824,0.7015945330296125,0.21526195899772205,0.19134396355353012,-0.21526195899772205,0.19134396355353012,-0.21526195899772205
482450005001,0.32747119466343255,0.36810187992722865,0.29836264402668267,0.040630685263796096,-0.06973923590054598,-0.040630685263796096,-0.06973923590054598,-0.040630685263796096
482450005002,0.2765151515151514,0.6868686868686869,1.0,0.41035353535353547,0.31313131313131315,-0.41035353535353547,0.31313131313131315,-0.41035353535353547
482450006001,0.2142245072836333,0.2596401028277635,0.0,0.045415595544130216,-0.2596401028277635,-0.045415595544130216,-0.2596401028277635,-0.045415595544130216
482450006002,1.0,0.34790528233151186,0.00941105039465695,-0.6520947176684881,-0.3384942319368549,0.6520947176684881,-0.3384942319368549,0.6520947176684881
482450006003,0.26388888888888906,0.41574074074074074,0.0,0.15185185185185168,-0.41574074074074074,-0.15185185185185168,-0.41574074074074074,-0.15185185185185168
482450006004,0.0,0.26984126984126977,0.1084656084656086,0.26984126984126977,-0.16137566137566117,-0.26984126984126977,-0.16137566137566117,-0.26984126984126977
482450006005,0.13465553235908145,0.463465553235908,0.36534446764091855,0.32881002087682654,-0.09812108559498944,-0.32881002087682654,-0.09812108559498944,-0.32881002087682654
482450006006,0.4024663677130045,0.35762331838565053,0.19394618834080735,-0.044843049327353945,-0.1636771300448432,0.044843049327353945,-0.1636771300448432,0.044843049327353945
482450007001,0.0,0.174540682414698,0.014435695538057569,0.174540682414698,-0.16010498687664043,-0.174540682414698,-0.16010498687664043,-0.174540682414698
482450007002,0.43527204502814243,0.6247654784240151,0.3076923076923077,0.18949343339587266,-0.3170731707317074,-0.18949343339587266,-0.3170731707317074,-0.18949343339587266
482450007003,0.442122186495177,0.4308681672025725,0.072347266881029,-0.0112540192926045,-0.3585209003215435,0.0112540192926045,-0.3585209003215435,0.0112540192926045
482450007004,0.12195121951219479,0.5947467166979359,0.09380863039399623,0.4727954971857411,-0.5009380863039397,-0.4727954971857411,-0.5009380863039397,-0.4727954971857411
482450009001,0.4271137026239069,0.5685131195335278,0.07580174927113692,0.14139941690962088,-0.49271137026239087,-0.14139941690962088,-0.49271137026239087,-0.14139941690962088
482450009002,0.10796645702306096,0.0,0.14570230607966472,-0.10796645702306096,0.14570230607966472,0.10796645702306096,0.14570230607966472,0.10796645702306096
